userID,年龄,所在省,所在地,creditedNum,文凭,性别,身高,自我介绍,学历认证,身份认证,手机认证,芝麻信用认证,身份通认证,昵称,照片,恋爱状态,标签,住房,体型,体重,偏爱约会方式,公司性质,公司行业,厨艺状况,本人婚姻状况,要求伴侣婚姻状况,要求伴侣学历,宗教信仰,家中排行,家乡,家务分工,属相,工作状况,希望对方看重,要求伴侣年龄,恋爱类型,想何时结婚,户口,所在地区,所学专业,择偶要求_有无子女,掌握语言,星座,是否吸烟,是否喝酒,是否想要小孩,要求伴侣月收入,月薪,有无子女,期待婚礼形式,母亲工作,毕业学校,民族,父亲工作,父母医保,父母情况,父母经济,生活作息,相貌自评,职业,血型,要求伴侣购房情况,购车,要求伴侣身高
74351371,34,山西,山西太原,3,本科,男,175,骄傲败给时间，知识败给实践，快乐败给想念，决定败给留恋，身体败给失眠，缠绵败给流年,0,1,1,0,1,海潮岸音,有,已经结婚了,早起鸟/工作忙碌/随和/身材健壮/看重感觉,与父母同住,健壮,83,共赴浪漫之旅,事业单位,文化/娱乐/体育,不太会，但愿为心爱的人学习,已婚,未婚,不限,无神论,独生子女,,一起分工合作,猪,偶尔加班,性格，心灵,20~28岁,,时机成熟时就结婚,,山西省,机械类,不限,"中文(普通话),英语",天蝎座,不吸，很反感,不喝酒,视情况而定,"4000-5000,7000-10000",2000-5000,没有,简单就好，无所谓,,,汉族,,,父母健在,,早睡早起,6,物业管理,B型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,155~170厘米
50213316,34,福建,福建福州,2,本科,男,170,坚持自己的理想，勇敢地走自己的路，再大的困难也不怕,1,0,0,0,1,even,有,正在恋爱中,身材苗条/无神论/名校,住单位房,苗条,55,,,计算机/网络,,未婚,未婚,不限,无神论,,福建泉州,,猪,,,20~30岁,作家型,,,不限,,不限,,天蝎座,不吸烟，但不反感,兴致时小酌,还没想好,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,,,江苏大学,汉族,,,,,,7,生产/营运,其它,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,150~168厘米
6786023,38,四川,四川成都,1,本科,男,174,"人生就是要经历很多东西,酸甜苦辣,才是真正的生活.我相信至善,相信有至高之造物主,洞察百态.人海茫茫,能够有缘相识,是人生中的完满.",0,0,0,0,1,tyforn,无,正在恋爱中,有神论/自信/身材苗条,租房,较瘦,65,,,计算机/网络,,未婚,未婚,不限,信神但未定教,,四川巴中,,猴,,,18~28岁,作家型,,,四川省,,不限,,金牛座,不吸烟，但不反感,不喝酒,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,,,,汉族,,,,,,8,艺术/设计/创意,其它,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,155~170厘米
50634652,52,外国,外国,2,高中,男,144,我,0,1,1,0,1,天,无,已经结婚了,随和/有神论/有上进心/接受闪婚/少数民族,住亲朋家,匀称,116,牵手漫步在公园,,交通运输,不太会，但愿为心爱的人学习,已婚,"未婚,离异",不限,信神但未定教,老二,德国,看各自闲忙，协商分担,马,,容貌身材,18~18岁,照顾者型,及时闪婚,,阿富汗,,不限,中文(普通话),白羊座,烟不离手,酒不离口,视情况而定,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000以下,有，不和我住一起,旅游结婚，不大操大办,,,蒙古族,,,母亲健在,,没有规律,1,退休,O型,已购房(无贷款),,144~146厘米
54402915,58,北京,北京东城,0,初中,男,147,此号已注销~~~~~~~,0,0,1,0,0,已注销,无,已经结婚了,少数民族/有神论,,胖,121,,,其它,,已婚,不限,不限,其它,,北京东城,,猪,,,20~30岁,照顾者型,,,北京市,,不限,,魔羯座,烟不离手,酒不离口,还没想好,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000以下,没有,,,,其它民族,,,,,,1,退休,其它,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,155~175厘米
62527315,37,北京,北京昌平,2,大专,男,175,11,0,1,1,0,1,12,无,已经结婚了,无神论/厨艺不错/有房/勤快/接受闪婚,已购房(有贷款),较瘦,70,一起打游戏或者一起看电影,自有公司,其它,能做几样可口的小菜,已婚,未婚,不限,无神论,独生子女,北京昌平,任劳任怨,鸡,朝九晚五,性格，心灵,25~30岁,领袖型,及时闪婚,,北京市,食品类,不限,英语,水瓶座,社交时偶尔吸烟,社交需要喝,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,简单就好，无所谓,,北京人文大学,汉族,,,父母健在,,偶尔熬夜,6,在校学生,,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",未购车,160~165厘米
50108521,56,广东,广东深圳,0,本科,男,170,我是一位已為人父曾為人夫的成年人，定要為自己將來的家做好準備！,0,0,0,0,0,尊师守德,有,已经结婚了,高管/有神论/身材匀称/自信,住单位房,匀称,63,,,制造业,,已婚,不限,不限,其它,,江西九江,,牛,,,20~42岁,作家型,,,广东省,,不限,,狮子座,社交时偶尔吸烟,不喝酒,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",5000-10000,有，不和我住一起,,,,汉族,,,,,,10,高级经营管理,O型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,150~169厘米
73277771,51,黑龙江,黑龙江鹤岗,2,大专,男,182,我的性格特点是：只要爱她就一定会陪她到老；业余时间我喜欢：与朋友小聚上网看新闻散步；我憧憬的生活是：静心；我希望我的爱人：人品一定要好。我只能看到免费的信不是免费的信就不要发过来了外地工作生活的我感觉不太可能您如果也同意我的观点请您就不要联系我了拜托！,0,1,0,0,1,泽海池天,有,已经结婚了,高个子/身材健壮/工作轻松/有房/看重感觉,已购房(无贷款),健壮,,,事业单位,,,已婚,不限,不限,无神论,,,,马,工作时间自由,性格，心灵,40~46岁,照顾者型,时机成熟时就结婚,,黑龙江省,法学类,不限,中文(普通话),天秤座,不吸烟，但不反感,不喝酒,不想,4000-5000,2000-5000,有，和我住一起,简单就好，无所谓,,,汉族,,,,,,,其它,,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,162~172厘米
50474343,37,山东,山东青岛,0,本科,男,180,人生下来的时候都只有一半，为了找到另一半而在人世间行走。有的人幸运，很快就找到了。而有人却要找一辈子……我一直怀疑27岁是否还会有一见钟情的倾心。爱情这东西，时间很关键。认识得太早或太晚，都不行。这一分钟，你和我在一起，因为你，我会记得那一分钟。从现在开始，我们就是一分钟的朋友。这是事实，你改变不了，因为已经完成了。,0,0,1,0,0,枫,有,,高个子/无神论/身材苗条,与父母同住,苗条,60,,,装饰/装潢,,未婚,未婚,不限,无神论,,山东青岛,,鸡,,,23~26岁,将军型,,,山东省,,不限,,双子座,烟不离手,兴致时小酌,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",5000-10000,没有,,,,汉族,,,,,,7,其它,其它,已购房(无贷款),,163~166厘米
60635128,48,广东,广东广州,3,本科,男,170,往前一步是幸福，退后一步是孤独。有这么好的平台，为什么就不给自己一个改变现状的机会呢？,0,1,1,0,1,如沐春风,有,已经结婚了,厨艺不错/无神论/工作轻松/随和/名校,住单位房,匀称,70,牵手漫步在公园,国有企业,交通运输,能做几样可口的小菜,已婚,不限,不限,无神论,老大,湖南湘潭,看各自闲忙，协商分担,鸡,朝九晚五,性格，心灵,30~38岁,专家型,时机成熟时就结婚,,广东省,金融学类,不限,中文(普通话),处女座,不吸，很反感,不喝酒,想,"4000-5000,7000-10000,15000-20000",5000-10000,有，不和我住一起,旅游结婚，不大操大办,,湖南大学,汉族,,,父母健在,,早睡早起,6,财务/审计/税务,,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",需要时购置,160~165厘米
56923926,37,河南,河南洛阳,0,大专,男,170,经历的人生大起大落，属于咸鱼翻身之类的，常告诉自己时间能改变一切，唯有我心不变，一颗坦然，平和，善良，感恩，宽容，真诚的面对人生。我也说不清我到底找个什么样的人，我有事比较固执，有点传统的思想，也不是与时尚无关。两情相悦才是最重要的，我不在意她的年龄，容貌，家境等一切先天的因素。只要会过日子就什么都好。重要的是两个人能和睦相处，能过个安稳，平淡的生活。毕竟人生不过短短几十年，不在于钱有多少，而在于日子过得开心。,0,0,1,0,0,阿伟,有,,身材健壮/自信/无神论,,健壮,65,,,电子/电器,,未婚,不限,不限,无神论,,河南洛阳,,鸡,,,20~33岁,照顾者型,,,河南省,,不限,,金牛座,不吸烟，但不反感,不喝酒,还没想好,2000以下,2000-5000,没有,,,,汉族,,,,,,10,其它,A型,,,153~175厘米
53952385,35,湖北,湖北省恩施,0,高中,男,168,踏踏实实，一步一个脚印，努力奋斗，实现心中目标！希望能遇上一个女孩，与她相亲相爱一辈子！,0,0,0,0,0,飞来非去,有,,无神论/身材匀称/自信,,匀称,62,,,商业/贸易,,未婚,不限,不限,无神论,,北京东城,,狗,,,20~28岁,将军型,,,湖北省,,不限,中文(普通话),处女座,不吸烟，但不反感,不喝酒,还没想好,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",5000-10000,没有,,,,汉族,,,,,,10,其它,其它,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,150~170厘米
56302783,29,山西,山西吕梁,3,本科,男,168,我是个开放的人我不喜欢被人管自由自在是我的风格,0,1,1,0,1,王志雄,有,,身材匀称/无神论,与父母同住,匀称,60,,,制造业,,未婚,不限,不限,无神论,,山西吕梁,,蛇,,,22~24岁,主人型,,,山西省,,不限,,水瓶座,社交时偶尔吸烟,不喝酒,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,,,,汉族,,,,,,7,其它,AB型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,166~170厘米
67258971,29,河南,河南郑州,2,大专,男,179,大家好，我是一个宅男，体贴，睿智的男孩，现在常住地点在河南郑州，我平时的业余时间喜欢看电影，对于我的另一半，我希望她是一个直率的女生……希望在百合网能快点遇到心仪的她。,0,1,0,0,1,转身遇见你,有,已经结婚了,厨艺不错/有车/身材匀称/无神论/慢热型,已购房(有贷款),匀称,,一起打游戏或者一起看电影,,电子/电器,能做几样可口的小菜,已婚,未婚,不限,无神论,独生子女,,一起分工合作,龙,,性格，心灵,18~25岁,发明家型,三年以内,,河南省,,不限,中文(普通话),水瓶座,社交时偶尔吸烟,社交需要喝,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,顶级酒店，高朋满座,,,汉族,,,父母健在,,偶尔熬夜,,财务/审计/税务,AB型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",已购车,159~167厘米
50262959,43,云南,云南昆明,0,本科,男,175,"我是一个真诚实在的人!觉得平平淡淡才是真!只愿找到一个我爱她且她也爱我,愿意陪我平淡走过一生的人!本人以真诚相待!谢绝无聊交友!",0,0,0,0,0,陌路的情缘,无,已经结婚了,身材匀称/无神论/自信/警察/有房,已购房(无贷款),匀称,68,,,政府机关,,已婚,未婚,不限,无神论,,云南红河,,虎,,,24~30岁,公务员型,,,云南省,,不限,,天蝎座,不吸烟，但不反感,兴致时小酌,还没想好,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,,,,汉族,,,,,,8,警察/其它,O型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,158~170厘米
53480016,31,江苏,江苏无锡,3,本科,男,177,我是个真正积极奋斗的向上男，与同学朋友们共同在奋进。同时也很希望有个善良美丽的姑娘，能与我共同分享我们的欢笑，能看到我们一点一点地为我们的小家来添砖加瓦。,0,1,1,0,1,Blues,无,已经结婚了,工作忙碌/看重感觉/身材匀称/自信/有房,已购房(有贷款),匀称,70,共赴浪漫之旅,私营企业,制造业,能做几样可口的小菜,已婚,未婚,不限,无神论,独生子女,江苏盐城,看各自闲忙，协商分担,兔,偶尔出差,性格，心灵,20~23岁,记者型,时机成熟时就结婚,,江苏省,化学类,不限,"中文(普通话),英语",白羊座,社交时偶尔吸烟,社交需要喝,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",10000-20000,有，和我住一起,中式婚礼，宴请宾客,,江南大学,汉族,,,父母健在,,偶尔懒散,8,工程/能源,B型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",已购车,160~170厘米
58441169,32,福建,福建三明,1,高中,男,172,目前一年的想法是在再厦门买套商品房，未来三年之内买车。不过对女生的要求就是。拜金的别找我了，人格有障碍也别来了，性格缺失的更别来。真诚真心爱我的女生可以和我沟通！,0,0,1,0,0,犯错的埲埲糖,有,,有神论/工作轻松/有房/身材匀称/慢热型,已购房(无贷款),匀称,63,一起做饭,私营企业,餐饮,色香味俱全,未婚,未婚,不限,基督教,独生子女,福建厦门,一起分工合作,虎,工作时间自由,性格，心灵,20~24岁,主人型,两年以内,,福建省,计算机类,不限,"中文(普通话),英语,其它",双子座,社交时偶尔吸烟,不喝酒,想,"2000以下,4000-5000,7000-10000",2000-5000,没有,旅游结婚，不大操大办,,,汉族,,,单亲家庭,,偶尔熬夜,7,酒店/旅游/餐饮/娱乐,A型,"需要时购置,住单位房",需要时购置,157~163厘米
60148970,59,广西,广西区南宁,0,大专,男,168,哈尔宾的夏天是最美的。哈尔宾1959年的夏天尤其美。那年，5月16日的早上，晴朗的天空万里无云，突然，晴空霹雳，一个伟大的生命诞生了！从此，世界上的癞蛤蟆们才有了希望。咦，我的天鹅呢？她在哪里？等啊等，盼啊盼。我的天鹅什么时候会出现？先人说：“女人好找，老婆难寻。”要找就找个实心实意过日子的老婆！把咱还剩下不十分太多的日子全部批发给她。宁可不找，绝不零售！贤人说：“万恶淫为首，百善孝为先。”她，起码要知道这句话。在我还没下岗的情况下，我的接班人就提前上岗了，我也就只好让贤了......妈妈说：“丑妻近地家中宝。”漂亮未必是好鸟。直到红颜祸水之切肤之痛后，才理解了这句话的深刻含义。自己说：“只求天长地久，不求曾经拥有！！！”人啊，不是一棵白菜；白菜有点烂叶子掰丢了就行。人是个整体，包括他的缺点；如果能把人的缺点给掰去丢了，那他就不是人了，是神仙、是圣人。我找的是老婆，不是找圣人，所以我就必须包容她的缺点！可以没有钱，但是不能没有尊严！可以不是老板，不能没有做老板的欲望！！不想当将军的士兵不是好士兵！！！不相信一见钟情，只相信缘分；不强调外表，只强调内涵；不在呼年龄，只在呼心心相通；不要贪求富贵，只要求心地善良。风趣幽默、开心开朗、嘻嘻哈哈，不嗜酒、不跳舞、不打麻将。就是我!没有邮票，看不到信,0,0,0,0,0,无赖,有,已经结婚了,少数民族,租房,较胖,63,,,交通运输,,已婚,不限,不限,,,广西区南宁,,猪,,,40~55岁,记者型,,,贵州省,,不限,中文(普通话),金牛座,烟不离手,兴致时小酌,不想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000以下,有，不和我住一起,,,,藏族,,,,,,2,广告,B型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,150~170厘米
60571255,41,四川,四川成都,3,高中,男,170,我相信有缘分就会走道一起来，只要信自几。,0,1,1,0,1,百合会员,有,正在恋爱中,工作轻松/有上进心/随和/身材健壮/看重感觉,与父母同住,健壮,60,彼此相依相偎,自有公司,房地产建筑业,不太会，但愿为心爱的人学习,离异,不限,不限,,独生子女,,看各自闲忙，协商分担,蛇,工作时间自由,,28~35岁,挑战者型,时机成熟时就结婚,,四川省,机械类,不限,中文(普通话),巨蟹座,社交时偶尔吸烟,不喝酒,视情况而定,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,有，和我住一起,简单就好，无所谓,,,,,,父母健在,,没有规律,6,储备干部/培训生/实习生,O型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,150~165厘米
54640301,40,陕西,陕西宝鸡,2,本科,男,180,我是一名普通的医务工作者，细致、踏实、执着、热情、上进是我的特点，想觅一位有着同样诚恳态度的人作为终生伴侣。曾经的少年轻狂已逐渐褪色，人到三十最大的好处就是明智：知道拥有的，也知道想要的——两个人“共同奋斗，互相鼓励”是生活，平凡而不平淡；“不离不弃，相互依扶”是承诺，简约但不简单、、、幸运的我，感谢百合，我找到了自己的她，她温柔可爱，秀外慧中，大方得体、、、但我不知如何改变征友状态，只有在这儿来公告天下，愿天下有情人终成眷属！,0,1,0,0,1,sam,无,已经结婚了,高个子/医护人员/身材健壮/无神论,,健壮,80,,,健康/医疗,,已婚,未婚,不限,无神论,,陕西宝鸡,,马,,,23~30岁,将军型,,,陕西省,,不限,,白羊座,不吸烟，但不反感,不喝酒,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",2000-5000,没有,,,,汉族,,,,,,7,医院/医疗/护理,O型,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,163~170厘米
65085530,34,四川,四川南充,3,大专,男,163,大家好，我是一个有责任心的男孩，现在常住地点在四川南充，我平时的业余时间喜欢运动，对于我的另一半，我希望她是一个直率，孝顺，居家的女生……希望在百合网能快点遇到心仪的她。,0,1,1,0,1,峰行天下,有,已经结婚了,看重感觉/早起鸟/有房/厨艺不错/无神论,已购房(有贷款),,,彼此相依相偎,,,能做几样可口的小菜,已婚,不限,不限,无神论,老大,四川南充,看各自闲忙，协商分担,猪,,性格，心灵,19~29岁,公务员型,时机成熟时就结婚,,四川省,电气类,不限,"英语,葡萄牙语",魔羯座,不吸烟，但不反感,社交需要喝,想,"2000以下,4000-5000,7000-10000,15000-20000,30000-50000",5000-10000,没有,中式婚礼，宴请宾客,,,汉族,,,父母健在,,早睡早起,,其它,,",与父母同住,需要时购置,已购房(无贷款),住单位房,住亲朋家",,156~165厘米
